Income,Recency,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Age,Customer_Days,MntTotal,MntRegularProds,AcceptedCmpOverall,Response
43482,83,2,0,4,54,2387,60,32,0,0
62551,27,6,7,4,67,2382,394,367,1,0
52332,63,3,2,6,61,2464,257,255,1,0
66951,46,3,4,7,32,2398,993,869,0,0
26091,84,2,1,3,63,2283,69,49,0,0
33456,58,1,0,3,55,2228,29,22,0,0
28718,78,2,0,3,38,2510,41,25,0,0
50447,4,3,1,3,50,2228,121,94,0,0
53537,17,2,1,3,61,2309,87,81,0,0
52074,77,2,2,2,53,2245,71,23,1,0
80427,56,11,8,8,45,2814,1809,1783,0,0
83837,79,9,10,5,72,2719,1207,1096,2,1
38853,90,2,0,3,50,2196,43,41,0,0
38285,96,0,0,3,61,2164,9,8,0,0
78497,44,5,7,12,69,2369,755,532,1,0
51650,81,4,1,4,44,2208,184,177,0,0
16248,77,2,1,3,32,2209,48,39,0,0
66835,21,6,4,13,74,2433,892,751,0,0
30477,16,1,1,3,36,2317,54,42,0,0
28249,80,2,0,3,59,2173,33,23,0,0
25271,45,1,1,2,37,2730,43,36,0,0
32303,63,1,0,4,50,2272,37,35,0,0
61286,34,7,1,8,54,2490,491,374,0,0
74068,14,4,10,9,44,2626,1566,1551,0,0
45759,13,2,0,3,56,2650,64,60,0,0
24882,52,1,1,2,42,2817,44,8,1,0
66973,98,8,7,12,31,2567,1180,1078,0,0
38872,93,3,0,3,32,2554,69,47,0,0
51148,38,5,1,6,47,2655,303,291,0,0
31353,24,1,1,2,43,2341,24,17,0,0
69661,80,7,3,12,40,2206,826,818,0,0
80067,82,4,6,6,66,2442,1549,1498,1,0
86718,20,5,6,5,66,2687,1098,926,0,0
46854,81,5,1,3,47,2249,184,105,1,1
69142,50,8,1,7,68,2159,496,457,1,0
75922,60,4,4,9,52,2361,1203,1111,0,0
63693,63,11,6,9,42,2417,1096,1042,0,0
102160,54,7,9,10,43,2763,1182,1124,3,1
40637,72,1,0,3,55,2506,35,32,0,0
18890,5,0,1,2,36,2755,20,5,1,1
29604,88,1,0,3,32,2362,39,25,1,0
48721,50,4,2,5,57,2571,272,251,0,0
44794,99,2,0,3,54,2180,61,57,0,0
64497,17,11,4,9,66,2816,1612,1420,1,1
46097,11,3,1,6,64,2614,233,225,0,0
77972,18,4,6,9,66,2262,1089,1077,0,0
44377,70,5,1,5,52,2791,254,244,0,0
46014,21,7,1,8,46,2683,497,453,0,0
70951,66,3,4,9,35,2580,1144,1090,0,0
41443,79,8,1,5,43,2248,393,304,0,0
52195,2,1,0,2,42,2207,16,15,0,0
83790,81,8,10,6,72,2385,1599,1583,2,0
44551,24,4,1,5,66,2461,219,153,0,0
69508,48,11,4,11,40,2751,1092,1049,0,0
45204,93,1,1,4,32,2238,96,78,0,0
72460,56,3,5,7,51,2386,1037,1027,0,0
77622,3,6,3,11,50,2235,700,686,0,0
30732,44,4,1,4,40,2699,182,179,0,0
63887,38,9,6,12,58,2818,1153,1061,0,0
42011,46,3,1,4,42,2619,150,111,0,0
51369,84,8,2,4,44,2771,394,212,0,0
51537,27,2,2,11,68,2726,1011,919,0,0
79930,72,3,5,8,48,2849,1736,1719,0,0
34320,66,1,0,2,34,2292,17,17,0,0
37070,30,5,1,8,54,2625,394,355,0,1
81975,2,6,3,4,58,2699,1561,1534,1,0
38590,65,1,0,2,49,2569,19,16,0,0
15033,37,1,0,3,69,2233,15,11,0,0
62745,89,7,8,11,55,2622,1085,1053,0,0
22212,49,2,0,4,45,2361,48,27,0,0
23661,46,1,0,3,38,2366,22,21,0,0
79761,32,5,2,11,62,2427,594,583,0,0
7500,54,3,1,3,47,2344,37,17,0,0
73455,98,6,5,10,52,2403,2068,2048,1,0
64961,97,6,4,4,62,2712,971,933,0,0
22804,75,2,0,2,49,2492,25,24,0,0
73687,8,3,9,9,30,2372,1446,1265,1,1
61074,37,11,5,8,62,2840,950,798,0,0
31686,31,1,0,3,56,2183,16,15,0,0
80134,40,5,3,6,48,2564,1610,1530,3,1
75027,74,9,4,6,67,2695,1313,1236,0,0
67546,90,4,10,5,32,2826,1954,1782,0,0
65176,57,9,6,6,51,2767,1461,1391,0,0
31160,59,2,0,3,45,2445,51,38,0,0
29938,52,1,0,3,35,2404,15,4,0,0
102692,5,6,9,13,46,2609,964,816,4,1
26490,92,3,1,5,62,2804,185,160,0,0
75702,77,4,6,11,53,2828,1118,1088,0,0
30899,35,1,0,3,46,2783,32,31,0,0
63342,48,8,3,5,59,2780,1080,1059,1,0
45989,97,3,2,7,56,2774,310,298,0,0
18701,95,2,0,4,56,2549,34,24,0,0
40737,24,1,0,2,63,2362,15,13,0,0
15287,60,1,1,2,41,2786,18,5,1,1
69674,46,10,2,10,52,2562,821,797,0,0
44159,85,4,1,6,50,2171,268,261,0,0
37717,31,1,0,2,42,2742,20,15,0,0
43776,9,5,2,4,68,2670,255,235,0,1
38179,30,3,1,3,54,2631,70,50,0,0
80124,47,3,7,8,57,2162,1254,1013,1,0
38097,70,3,2,2,50,2781,115,46,1,1
72940,13,3,3,6,50,2534,865,749,0,0
22070,11,2,2,2,50,2427,46,25,0,0
69267,31,3,4,5,67,2804,1489,1343,0,1
31788,15,3,0,4,37,2260,54,48,0,0
61905,2,4,2,4,45,2304,218,205,0,0
29315,55,2,0,4,60,2243,44,40,0,0
33378,38,2,0,4,57,2667,89,79,0,0
66313,86,6,3,12,57,2445,763,756,0,0
60714,56,7,4,10,64,2687,795,633,0,1
77882,29,3,3,5,39,2219,803,788,0,0
69867,30,3,5,8,34,2612,871,817,1,1
63841,64,9,3,9,52,2593,777,646,0,0
24480,46,3,0,4,39,2662,85,68,0,0
51369,84,8,2,4,44,2771,394,212,0,0
37760,20,4,1,6,74,2826,289,261,0,0
65640,74,5,1,8,46,2279,395,329,0,0
44319,18,2,0,3,45,2232,34,31,0,0
30631,75,3,1,2,46,2511,50,30,0,0
75278,17,6,3,13,68,2675,856,782,0,0
50898,88,6,2,12,64,2696,724,589,0,0
79946,19,5,11,5,54,2207,1450,1422,0,0
35416,62,7,1,5,71,2540,339,288,0,0
32414,11,1,0,3,36,2519,40,28,1,0
38361,74,3,1,3,51,2343,123,109,0,0
82497,32,2,7,9,40,2765,1716,1513,1,0
16626,76,3,0,3,49,2324,55,42,0,0
29672,6,0,0,3,55,2633,17,9,0,0
55951,62,3,6,11,68,2834,1334,1294,2,0
35388,20,1,0,3,32,2638,24,16,0,0
42386,43,3,0,3,34,2691,89,78,0,0
68627,45,2,3,6,38,2692,787,749,0,0
57912,34,8,3,12,55,2263,881,846,1,0
35246,53,3,1,3,62,2233,52,42,0,0
58821,44,9,2,9,64,2419,700,672,0,0
46377,89,2,1,3,42,2279,90,90,0,0
39747,43,5,1,4,32,2236,221,169,0,0
23976,68,3,1,3,36,2343,41,16,0,0
80950,44,6,7,9,59,2617,1150,1087,1,0
27038,64,3,0,3,54,2808,92,77,0,1
77457,85,2,5,10,73,2275,1146,1135,1,0
64100,93,8,3,6,56,2451,536,526,1,0
42670,12,4,2,4,28,2587,226,211,0,0
12571,86,3,1,3,44,2321,36,19,0,0
22574,28,2,0,3,53,2403,35,33,0,0
70893,42,6,6,10,44,2667,1494,1480,0,0
54198,13,3,1,6,54,2353,218,201,0,0
28839,86,2,0,3,64,2269,31,30,0,0
40321,59,3,0,3,48,2494,75,48,0,0
66503,30,4,3,6,35,2843,351,301,0,0
30833,33,1,0,3,69,2507,22,16,0,0
64795,23,3,3,12,49,2687,603,526,0,0
34421,81,1,0,2,46,2522,21,12,0,0
47025,6,1,0,2,55,2299,19,18,0,0
64325,41,10,3,5,59,2666,1234,1161,0,0
40464,78,8,2,8,67,2693,589,548,0,0
62187,49,4,8,5,63,2518,1157,1031,0,0
14849,39,2,0,4,44,2521,56,47,0,0
27255,3,1,0,3,36,2393,35,33,0,0
54432,37,1,0,3,70,2575,38,38,0,0
29999,22,3,1,4,34,2660,149,138,0,0
24072,79,1,0,2,37,2598,19,15,0,0
33996,46,1,1,3,31,2450,65,59,0,0
66334,82,9,3,5,64,2611,1138,1115,0,1
35178,10,1,1,2,49,2694,41,23,1,1
22010,51,2,0,3,37,2523,25,17,0,0
62204,38,4,5,12,60,2814,807,668,0,0
75693,10,11,4,6,52,2729,1412,1382,3,1
30675,14,1,0,3,48,2753,41,20,0,0
83003,18,7,6,8,55,2642,1552,1430,1,1
68655,95,4,5,11,32,2847,1500,1462,0,0
41411,11,2,1,4,34,2363,121,103,0,0
55212,65,4,2,11,51,2742,1148,1114,2,0
59292,71,3,5,8,70,2540,493,479,0,0
27190,13,1,0,2,47,2477,15,12,1,1
82623,58,2,9,4,68,2390,767,594,0,0
44300,65,1,0,3,55,2530,39,36,0,0
84835,0,4,4,6,50,2172,972,754,0,1
30372,33,2,0,3,49,2710,37,30,0,0
33181,90,1,0,2,44,2336,12,8,1,0
71113,95,6,7,9,63,2353,827,819,0,0
71952,93,8,4,8,34,2694,1350,1257,2,0
69759,38,4,6,5,54,2403,1029,1029,0,1
72099,18,3,4,10,46,2769,1166,1144,0,0
60000,57,11,3,5,44,2713,1265,1253,0,0
38643,45,2,0,3,42,2371,39,29,0,0
50737,61,2,0,4,65,2573,89,79,1,0
68462,6,3,3,8,51,2723,1622,1574,0,0
65073,65,5,3,5,77,2472,892,884,0,0
46681,52,4,6,4,72,2423,387,349,0,0
78618,87,4,7,10,63,2798,2092,2031,1,0
62187,38,6,2,10,51,2258,595,554,0,0
28442,53,2,1,4,42,2284,51,45,0,0
37717,31,1,0,2,42,2742,20,15,0,0
51479,67,6,3,6,53,2707,429,364,0,0
54803,65,6,2,9,51,2836,551,409,0,0
79530,64,4,10,11,60,2567,1319,1290,0,0
31615,82,2,0,3,44,2629,42,33,0,0
72025,27,4,3,8,58,2748,1699,1466,0,0
52614,63,2,4,8,45,2734,952,914,0,0
35684,66,1,0,3,36,2227,27,24,0,0
48178,69,5,1,4,45,2768,216,178,0,0
29548,52,1,1,2,50,2463,18,7,1,0
63810,45,4,3,12,54,2754,1270,1169,1,0
38578,2,3,0,3,48,2531,70,67,0,1
46098,86,3,2,2,45,2839,84,48,0,0
22585,23,1,1,2,50,2627,42,3,1,1
30279,13,1,0,3,31,2705,36,35,0,0
66426,14,3,5,10,59,2429,1220,1063,0,0
30822,92,1,0,3,51,2539,39,27,0,0
33581,38,1,0,2,51,2696,16,15,0,0
19986,74,0,0,3,35,2386,16,10,0,0
27421,14,4,1,6,66,2723,269,214,0,0
35688,94,4,1,4,47,2835,179,147,0,0
36143,33,0,1,2,39,2250,13,7,0,0
10245,32,1,2,2,49,2569,28,15,0,0
43795,11,7,3,4,52,2415,385,278,1,1
63381,78,4,5,13,60,2791,846,687,0,0
38823,56,2,1,3,71,2827,91,68,0,0
83664,57,2,2,12,52,2576,1087,1001,0,0
90300,7,5,6,8,41,2336,1681,1624,1,0
62499,0,3,1,6,41,2361,218,214,0,0
74293,66,5,4,6,27,2215,1046,965,0,0
51012,86,4,1,4,74,2596,185,161,0,0
70777,80,5,3,12,52,2283,709,631,0,0
68682,56,4,9,10,29,2425,1553,1508,0,0
43824,18,3,1,4,49,2811,154,122,0,0
15345,51,1,1,2,36,2826,28,9,0,1
23442,71,1,0,3,33,2711,22,17,0,0
14515,71,2,2,3,40,2756,61,26,0,1
31395,80,2,1,3,64,2622,57,50,0,0
75276,2,9,4,9,55,2799,1019,998,0,0
42373,83,2,1,5,46,2477,144,125,0,0
30507,29,5,1,4,60,2634,233,123,0,0
55521,11,6,3,6,65,2409,442,438,1,1
48006,55,1,0,3,55,2179,39,37,0,0
27213,19,2,0,4,48,2827,67,64,0,1
65808,1,5,1,5,49,2189,262,252,0,0
30351,19,3,0,2,46,2547,44,42,0,0
50437,28,7,1,8,57,2779,486,482,0,0
23616,76,3,0,3,38,2748,47,15,0,1
53858,50,4,3,6,44,2756,889,863,0,0
66465,1,11,9,12,65,2615,1471,1457,1,0
46923,90,5,1,7,33,2835,363,357,0,0
75072,83,5,4,8,58,2681,948,823,0,0
75865,73,3,5,10,77,2249,1230,1218,0,0
19789,24,2,1,3,45,2380,50,22,1,0
80134,11,2,7,11,26,2294,1352,1326,4,0
91065,33,7,9,9,39,2651,1360,1246,2,1
49505,4,10,2,8,49,2640,723,695,0,0
37401,14,2,0,3,47,2213,45,42,0,0
30096,30,2,0,3,37,2197,36,27,0,0
18492,75,1,0,2,38,2183,9,8,0,0
82584,26,3,4,8,46,2549,1367,1299,2,1
93027,77,7,10,5,79,2601,2098,2077,1,0
48686,8,1,0,2,67,2366,19,18,0,0
92910,42,6,7,13,34,2225,1762,1729,3,0
75433,28,2,5,10,31,2244,1131,1074,2,0
10404,52,1,0,4,31,2215,31,19,0,0
61314,1,5,5,12,52,2589,836,664,0,0
84865,1,2,4,9,59,2575,1672,1656,4,1
42387,42,8,1,7,31,2767,493,302,0,0
67309,76,9,6,9,53,2681,987,892,0,0
75236,27,8,3,13,56,2375,954,840,0,0
30015,28,1,0,4,50,2306,52,47,0,0
50943,49,1,0,3,64,2532,40,34,0,0
67272,12,6,2,12,54,2349,719,705,0,0
51529,14,9,1,5,71,2454,445,423,0,0
32011,89,2,1,4,49,2470,117,112,0,0
7500,96,2,0,3,34,2666,27,18,0,0
28691,56,1,0,3,31,2519,30,26,0,0
56223,72,2,1,5,72,2350,152,148,0,0
18100,14,0,0,3,74,2486,13,12,0,0
30279,13,1,0,3,31,2705,36,35,0,0
20130,99,1,0,3,46,2263,22,10,0,0
23295,72,1,0,2,61,2510,15,10,0,0
42618,92,5,0,4,48,2422,182,172,0,0
81246,87,4,5,7,56,2341,1342,1305,2,0
24027,7,2,0,3,44,2544,43,38,0,0
55707,91,3,2,9,67,2348,393,358,0,0
57959,71,4,7,11,65,2582,835,802,0,0
56796,24,8,9,7,51,2657,964,927,0,0
36230,17,2,0,4,49,2414,56,53,0,0
70829,87,4,2,8,40,2369,408,385,0,0
65991,21,9,5,10,44,2819,962,953,0,0
38988,90,5,1,6,48,2837,306,264,0,0
89572,44,7,7,9,54,2811,1995,1931,2,1
42207,71,4,1,5,36,2613,219,173,1,1
50300,52,2,1,8,68,2194,265,260,0,0
66664,78,5,7,6,38,2801,1257,1225,0,0
60597,2,2,2,8,56,2338,827,761,1,1
70165,60,3,7,11,71,2439,804,682,0,0
50520,25,3,1,3,62,2311,121,107,0,0
80124,47,3,7,8,57,2162,1254,1013,1,0
33183,46,4,0,3,45,2284,83,46,0,0
66582,83,2,8,9,51,2277,1288,1288,0,0
75261,17,5,6,5,65,2591,1726,1709,2,1
31880,13,1,0,2,50,2765,12,9,0,0
53790,86,7,2,8,69,2274,537,532,0,0
49269,92,7,3,12,49,2842,832,774,0,0
61456,47,6,10,13,45,2618,1299,1210,0,0
37406,18,1,0,2,40,2421,14,11,0,1
56937,81,8,6,9,39,2853,898,890,1,1
38415,91,1,0,3,42,2702,40,36,0,0
20518,58,1,1,2,32,2201,16,7,0,0
62503,40,8,3,11,64,2655,856,739,0,0
41644,67,1,0,3,48,2210,29,27,0,0
55842,19,7,1,8,43,2196,494,470,0,0
62010,93,6,2,7,48,2773,438,346,0,0
41124,41,7,3,4,43,2765,387,268,0,0
38961,60,2,1,2,47,2340,46,22,0,0
37760,54,2,0,3,48,2481,54,54,0,0
32233,26,6,2,2,46,2838,224,152,1,1
43057,30,4,2,5,45,2401,261,256,0,0
83151,93,5,9,4,60,2786,729,711,0,0
78825,35,5,10,13,56,2812,877,859,0,1
65104,4,3,5,7,44,2386,1003,953,0,0
60093,92,7,2,10,46,2527,645,555,0,0
14045,24,1,0,3,51,2313,19,18,0,0
28457,96,4,1,4,68,2768,191,177,0,0
78952,11,2,5,12,62,2802,1958,1824,0,0
46310,99,6,1,5,44,2732,295,281,0,0
76005,72,3,5,13,65,2651,1682,1642,1,0
58308,77,2,6,3,56,2692,770,640,0,0
55614,85,9,4,6,76,2373,656,630,1,0
59432,88,5,3,11,58,2601,651,639,0,0
55563,22,2,0,3,42,2244,41,39,0,0
78642,83,4,9,4,49,2593,1799,1782,0,0
67911,63,6,7,11,71,2197,976,976,0,0
65275,9,4,3,13,76,2611,725,704,0,0
27203,92,1,1,2,70,2851,40,16,0,0
48330,2,1,0,3,59,2385,32,32,0,0
24279,6,4,1,3,30,2706,155,47,0,0
64355,66,4,3,12,35,2833,1292,1139,0,0
50943,49,1,0,3,64,2532,40,34,0,0
53653,29,10,4,12,67,2758,1102,994,0,0
65665,77,5,10,8,44,2368,916,887,0,0
81217,77,3,7,11,31,2504,1073,989,0,0
34935,71,2,1,4,28,2532,117,97,0,0
61250,49,5,2,12,61,2719,671,612,0,0
39665,97,4,2,3,39,2559,185,154,1,0
60152,6,6,4,12,41,2617,852,761,0,0
48920,93,6,2,5,56,2411,341,335,1,0
89120,78,5,6,7,61,2263,1869,1814,1,0
44124,62,6,2,5,74,2573,345,293,0,0
81169,47,5,7,9,45,2600,2062,2035,0,0
36443,9,3,1,3,59,2670,118,98,0,0
26095,77,1,0,3,30,2523,31,20,0,0
71367,24,4,5,7,61,2469,702,627,0,0
80184,19,6,3,10,76,2279,1902,1902,2,0
30630,67,2,0,3,55,2312,42,32,0,0
73454,95,2,4,6,33,2279,1476,1301,1,0
42691,48,5,1,6,29,2476,300,242,0,0
70503,73,2,4,9,67,2796,1661,1595,2,0
25545,35,2,2,3,33,2818,125,40,0,1
32880,76,1,0,3,34,2731,40,38,0,0
77863,20,4,5,10,62,2373,1279,1267,0,0
50353,72,4,4,6,43,2180,407,372,0,0
61839,20,4,8,4,56,2845,1775,1655,0,0
49154,69,4,1,8,60,2397,340,269,0,0
47682,80,4,3,8,45,2658,460,399,0,0
72679,65,4,7,5,51,2443,1114,1060,0,0
57954,52,8,2,6,43,2170,484,475,1,0
65316,65,3,2,5,58,2590,222,184,0,0
28567,57,2,0,3,38,2536,40,34,0,0
47352,70,6,1,5,69,2603,304,289,0,0
44931,0,2,1,3,53,2321,89,82,0,0
76982,19,8,3,4,53,2293,1032,1002,1,1
57247,50,2,1,7,68,2484,226,220,0,0
22944,67,3,0,3,39,2347,50,24,0,0
25315,46,3,0,3,43,2393,32,10,0,0
43638,37,4,1,4,51,2851,182,163,0,0
42710,38,4,5,3,36,2737,304,202,0,0
84169,9,7,6,6,38,2485,1919,1919,2,1
54058,56,4,6,8,44,2549,608,554,0,0
24683,98,2,0,4,30,2272,35,29,0,0
85620,68,3,6,4,56,2332,1554,1508,0,1
47850,72,3,0,4,40,2367,124,114,0,0
19514,47,3,1,2,52,2313,41,13,1,1
27159,33,1,0,3,47,2251,20,19,0,0
39548,87,1,1,3,57,2249,36,18,0,0
21474,0,3,1,2,31,2241,57,23,1,1
60504,73,6,2,8,49,2301,492,458,0,0
22419,74,3,2,2,57,2596,120,78,0,0
81698,4,3,8,13,71,2394,961,914,0,1
43462,50,4,1,5,68,2814,225,210,0,0
54880,57,6,2,11,42,2644,677,559,0,0
79908,30,5,6,7,38,2609,1661,1550,1,0
15315,27,2,0,4,50,2489,47,30,0,0
87771,61,5,10,4,61,2562,1924,1891,4,1
33039,4,2,0,4,42,2452,66,54,0,0
81741,75,6,6,7,40,2537,1534,1496,0,0
71499,12,8,3,13,49,2528,758,721,0,0
62466,13,6,3,12,50,2324,806,723,0,0
48799,9,3,2,7,57,2395,307,283,0,0
52157,48,3,2,5,70,2181,225,185,0,0
66565,80,4,2,9,58,2730,1023,981,0,0
29298,60,1,0,2,69,2454,10,9,0,0
47691,43,1,0,2,41,2518,17,13,0,0
38200,19,1,0,2,50,2728,16,15,0,0
44989,26,5,1,5,46,2814,263,157,0,0
38443,58,1,0,3,52,2312,37,36,0,0
38593,42,4,1,3,42,2448,153,129,0,0
64413,27,5,1,5,50,2491,259,239,0,0
36959,56,2,0,3,39,2429,62,62,0,0
61996,27,6,4,8,43,2673,1206,1182,3,1
51287,10,4,1,3,52,2248,152,122,0,0
13260,48,3,0,3,50,2469,42,35,0,0
47472,39,2,0,4,54,2445,67,59,0,0
54603,85,4,2,4,64,2514,223,219,0,0
45207,64,3,1,6,46,2755,213,211,1,0
40689,69,7,1,5,69,2627,345,246,0,0
47821,54,1,0,3,53,2411,37,27,0,0
