Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Age,Customer_Days,MntTotal,MntRegularProds,AcceptedCmpOverall,Response
38620,1056,112,17,44,34,22,89,2,5,3,0,0,0,0,0,57,2573,229,140,0,0
40548,1031,110,0,5,2,0,3,2,1,4,0,1,0,0,0,50,2786,117,114,1,0
46610,1008,96,12,96,33,22,43,4,1,6,0,0,0,0,0,68,2767,259,216,0,1
68657,1004,482,34,471,119,68,22,3,5,9,0,0,0,0,0,74,2653,1174,1152,0,0
49389,1055,40,0,19,2,1,3,2,0,3,0,0,0,0,0,69,2463,62,59,0,0
67353,1037,702,17,151,0,8,35,5,6,12,0,0,0,0,0,50,2339,878,843,0,0
23718,1076,6,3,14,15,7,36,3,1,2,0,0,0,0,0,44,2459,45,9,0,0
42429,1099,55,0,6,2,0,4,1,1,3,0,0,0,0,0,47,2297,63,59,0,0
48948,1053,437,8,206,160,49,42,7,10,5,1,0,0,0,0,77,2672,860,818,1,1
80011,1003,421,76,536,82,178,102,8,6,5,0,0,0,0,0,40,2585,1293,1191,0,0
20559,1088,13,1,29,3,0,7,2,0,3,0,0,0,0,0,35,2633,46,39,0,0
21994,1004,9,0,6,3,1,3,0,0,3,0,0,0,0,0,63,2711,19,16,0,0
7500,1019,3,1,10,3,2,12,2,0,3,0,0,0,0,0,45,2429,19,7,0,0
79941,1072,123,164,266,227,30,174,2,4,9,0,0,0,0,0,44,2160,810,636,0,0
7500,1024,3,18,14,15,22,50,3,1,3,0,0,0,0,0,24,2756,72,22,0,1
41728,1092,13,6,15,3,5,13,2,0,2,0,0,0,0,0,52,2560,42,29,0,0
72550,1039,826,50,317,50,38,38,5,2,12,0,0,0,0,0,66,2757,1281,1243,0,0
65486,1029,245,19,125,37,67,14,4,2,10,0,0,0,0,0,63,2207,493,479,0,0
79143,1002,650,37,780,27,167,32,6,9,13,0,0,0,0,0,56,2846,1661,1629,0,0
35790,1054,12,6,20,30,1,3,2,0,3,0,0,0,0,0,43,2702,69,66,0,0
82582,1054,510,120,550,156,40,241,4,9,7,1,0,0,1,0,43,2181,1376,1135,2,1
66373,1057,328,9,124,12,24,109,4,2,10,0,0,0,0,0,42,2541,497,388,0,0
82384,1055,984,51,432,180,120,190,3,10,13,0,0,1,0,0,65,2746,1767,1577,1,1
70287,1030,295,35,482,121,120,40,5,5,10,0,0,0,0,0,54,2612,1053,1013,0,1
27938,1031,13,0,8,2,1,5,1,0,4,0,0,0,0,0,32,2221,24,19,0,0
55954,1063,447,0,28,0,0,43,8,2,6,0,0,0,0,0,52,2277,475,432,0,0
75777,1012,712,26,538,69,13,80,3,6,11,0,1,1,0,0,38,2519,1358,1278,2,1
66653,1018,452,18,102,16,18,6,4,2,12,0,0,0,0,0,45,2819,606,600,0,0
61823,1026,523,7,134,37,14,169,8,2,10,0,0,0,0,0,68,2655,715,546,0,0
67680,1008,546,0,48,0,6,6,7,3,8,0,0,0,0,0,69,2542,600,594,0,0
70666,1029,398,40,367,119,122,30,7,4,4,0,0,0,0,0,72,2364,1046,1016,0,0
25721,1075,1,3,6,3,6,15,1,1,2,0,0,0,0,0,49,2563,19,4,0,1
32474,1000,10,0,1,0,0,0,1,0,2,0,0,0,0,0,53,2208,11,11,0,0
88194,1019,688,14,309,201,24,38,11,10,10,1,0,0,1,0,41,2261,1236,1198,2,1
69096,1004,247,49,159,7,82,109,5,2,10,0,0,0,0,0,62,2434,544,435,0,0
74854,1090,856,59,487,58,29,73,2,5,5,0,0,0,0,0,50,2606,1489,1416,0,0
66991,1001,496,36,460,189,60,12,4,8,6,0,0,0,0,0,66,2815,1241,1229,0,0
65031,1029,258,107,291,84,37,86,10,3,13,0,0,0,0,0,61,2628,777,691,0,0
60631,1088,565,6,65,0,6,19,9,2,8,0,1,0,0,0,45,2609,642,623,1,0
28332,1058,14,10,13,4,15,9,2,1,4,0,0,0,0,0,68,2219,56,47,0,0
40246,1068,2,1,6,2,1,1,1,0,2,0,0,0,0,0,43,2716,12,11,0,0
75251,1034,721,111,925,97,18,18,7,6,5,0,0,0,0,0,48,2830,1872,1854,0,1
75825,1040,1032,105,779,137,105,51,5,8,9,1,0,0,0,0,44,2784,2158,2107,1,1
26326,1012,1,0,5,0,3,9,0,0,3,0,0,0,0,0,44,2457,9,0,0,0
56046,1009,577,0,64,0,0,51,10,1,8,1,0,0,0,0,55,2702,641,590,1,1
29760,1087,64,4,68,7,5,17,3,1,4,0,0,0,0,0,35,2828,148,131,0,0
26304,1005,4,1,5,2,0,4,1,0,2,0,0,0,0,0,51,2530,12,8,0,0
23559,1087,25,5,19,7,0,23,3,0,3,0,0,0,0,0,47,2520,56,33,0,0
38620,1056,112,17,44,34,22,89,2,5,3,0,0,0,0,0,57,2573,229,140,0,0
81361,1018,163,23,424,27,65,76,3,10,13,0,0,0,0,0,33,2283,702,626,0,0
29440,1095,17,8,14,10,4,3,1,0,4,0,0,0,0,0,60,2481,53,50,0,0
36138,1048,130,0,16,0,0,5,3,1,4,0,1,0,0,0,50,2507,146,141,1,0
50388,1003,292,6,37,0,3,34,6,1,6,0,1,0,1,0,63,2191,338,304,2,1
79593,1070,350,60,568,110,133,145,5,6,7,0,0,1,0,0,47,2207,1221,1076,1,0
54178,1079,135,9,39,4,0,7,2,2,5,0,0,0,0,0,53,2318,187,180,0,0
42394,1069,15,2,10,0,1,4,1,0,3,0,0,0,0,0,48,2257,28,24,0,0
23626,1084,27,2,14,0,0,0,3,1,3,0,0,0,0,0,50,2195,43,43,0,0
30096,1030,5,3,11,12,5,9,2,0,3,0,0,0,0,0,37,2197,36,27,0,0
47916,1072,505,0,26,0,0,75,7,4,6,0,1,0,0,0,60,2743,531,456,1,0
51813,1037,51,2,7,0,1,2,2,0,3,0,0,0,0,0,48,2603,61,59,0,0
78497,1044,207,26,447,75,0,223,5,7,12,0,0,0,1,0,69,2369,755,532,1,0
50150,1032,135,46,92,65,61,11,5,2,7,0,0,0,0,0,37,2533,399,388,0,0
47823,1000,53,1,5,2,1,10,2,0,3,0,0,0,0,0,60,2500,62,52,0,0
34554,1043,41,1,6,2,0,5,2,0,3,0,0,0,0,0,61,2250,50,45,0,0
85693,1059,386,172,183,185,132,111,9,5,11,0,0,0,0,0,41,2594,1058,947,0,0
65846,1068,562,81,276,80,40,81,6,3,6,0,0,0,0,0,75,2567,1039,958,0,0
87195,1035,217,76,690,50,26,38,3,11,5,0,0,0,0,0,61,2211,1059,1021,0,1
24594,1094,1,3,6,10,0,9,1,0,3,0,0,0,0,0,41,2360,20,11,0,0
49096,1015,144,1,32,2,1,7,4,1,4,0,0,0,0,0,56,2437,180,173,0,0
52413,1056,295,106,271,75,98,65,6,4,12,0,0,0,0,0,51,2671,845,780,0,0
38557,1017,76,3,31,4,4,27,3,1,3,0,0,0,0,0,42,2716,118,91,0,0
89058,1018,454,194,106,31,22,43,5,4,4,0,0,0,0,0,60,2728,807,764,0,0
77298,1046,425,115,292,23,35,79,6,6,11,0,0,0,0,0,41,2398,890,811,0,0
68126,1040,1332,17,311,23,51,86,7,4,5,0,1,0,0,0,29,2755,1734,1648,1,1
57288,1027,527,0,21,0,0,60,8,1,8,0,1,0,0,0,57,2163,548,488,1,0
86037,1095,490,44,125,29,20,22,6,7,11,0,1,1,0,0,29,2702,708,686,2,1
43974,1019,378,0,101,0,0,72,6,4,6,0,0,0,0,0,40,2723,479,407,0,0
50785,1027,64,1,21,0,1,27,2,1,3,0,0,0,0,0,58,2451,87,60,0,0
90765,1025,547,99,812,151,82,33,4,6,5,0,0,1,1,0,50,2315,1691,1658,2,0
36550,1074,47,90,94,123,103,120,9,1,5,0,0,0,0,0,42,2654,457,337,0,0
30753,1085,12,5,25,0,9,30,1,1,3,0,0,0,0,0,53,2512,51,21,0,0
21918,1037,1,6,7,11,5,3,2,0,3,0,0,0,0,0,51,2386,30,27,0,0
56129,1065,320,48,133,39,72,48,6,2,10,0,0,0,0,0,67,2533,612,564,0,0
32557,1013,34,3,29,0,4,10,2,1,3,0,0,0,0,0,53,2284,70,60,0,1
19510,1063,9,0,7,3,4,7,1,0,3,0,0,0,0,0,35,2457,23,16,0,0
30992,1083,17,0,14,7,3,2,1,0,3,0,0,0,0,0,44,2592,41,39,0,0
101970,1069,722,27,102,44,72,168,6,8,13,0,1,1,1,0,37,2633,967,799,3,1
71488,1087,162,33,124,40,28,172,3,4,7,0,0,0,0,0,55,2655,387,215,0,0
79607,1037,450,133,951,173,0,216,3,6,6,0,0,0,0,0,36,2593,1707,1491,0,1
54348,1051,70,0,16,0,0,4,2,0,4,0,0,0,0,0,67,2180,86,82,0,0
77376,1072,492,19,110,16,12,12,6,3,10,0,0,0,0,0,64,2209,649,637,0,0
62998,1010,120,58,73,65,89,58,5,4,5,0,0,0,0,0,68,2431,405,347,0,0
61331,1042,534,5,47,0,5,41,11,1,6,0,0,0,0,0,62,2635,591,550,0,0
73448,1010,236,106,189,23,41,130,7,2,9,0,0,0,0,0,51,2298,595,465,0,0
41551,1051,220,0,33,3,0,23,5,1,5,0,0,0,0,0,56,2478,256,233,0,0
62981,1021,796,14,590,38,44,0,4,5,13,0,1,0,0,0,53,2628,1482,1482,1,0
9548,1031,0,1,3,10,6,9,1,0,3,0,0,0,0,0,44,2849,20,11,0,0
33762,1061,53,1,34,2,0,16,2,2,2,0,0,0,0,0,61,2516,90,74,0,0
35860,1037,15,0,8,4,2,20,1,1,2,1,0,0,0,0,47,2200,29,9,1,1
36921,1074,17,1,12,3,1,4,2,0,3,0,0,0,0,0,55,2495,34,30,0,0
92859,1046,962,61,921,52,61,20,5,4,12,0,0,0,0,0,28,2777,2057,2037,0,0
65104,1004,738,0,232,13,20,50,3,5,7,0,0,0,0,0,44,2386,1003,953,0,1
86111,1073,399,28,756,36,40,126,5,7,10,0,0,0,0,0,58,2595,1259,1133,0,0
68352,1047,614,16,132,43,33,33,8,5,9,0,0,0,0,0,46,2464,838,805,0,0
41883,1013,32,34,41,73,16,116,4,2,3,0,0,0,0,0,32,2626,196,80,0,0
59809,1036,598,16,141,32,41,49,3,3,6,0,0,0,0,0,44,2778,828,779,0,0
23957,1047,2,1,18,20,11,16,2,0,3,0,0,0,0,0,45,2768,52,36,0,1
38547,1049,6,1,10,0,1,4,1,0,2,0,0,0,0,0,39,2464,18,14,0,0
35688,1094,73,3,90,12,1,32,4,1,4,0,0,0,0,0,47,2835,179,147,0,0
49605,1065,42,16,29,12,20,8,2,1,4,0,0,0,0,0,54,2167,119,111,0,0
59354,1059,295,21,78,39,13,13,4,4,7,0,0,0,0,0,67,2225,446,433,0,0
65747,1096,346,17,48,23,13,13,8,1,6,0,1,0,0,0,51,2273,447,434,1,0
46344,1028,233,20,57,8,20,91,7,1,5,0,0,0,0,0,48,2721,338,247,0,0
34176,1012,5,7,24,19,14,20,3,0,4,0,0,0,0,0,32,2207,69,49,0,0
61010,1057,888,0,57,0,0,76,8,5,11,0,0,0,0,0,68,2787,945,869,0,0
69372,1010,997,26,269,34,13,42,10,4,6,0,1,1,0,0,71,2654,1339,1297,2,1
49967,1004,212,6,69,4,12,3,6,1,5,0,0,0,0,0,62,2515,303,300,0,0
60199,1049,8,1,7,2,0,0,0,0,3,0,0,0,0,0,42,2449,18,18,0,0
55375,1003,42,11,57,10,28,14,1,1,6,0,0,0,0,0,43,2414,148,134,0,0
80317,1064,536,11,387,149,91,57,3,4,10,0,0,0,0,0,65,2472,1174,1117,0,0
30523,1000,5,0,3,0,0,5,1,0,2,0,0,0,0,0,62,2522,8,3,0,0
70356,1020,1349,16,249,43,16,33,10,6,9,0,0,0,0,0,75,2760,1673,1640,0,0
23228,1091,53,3,49,7,4,5,3,0,4,0,0,0,0,0,36,2334,116,111,0,0
74165,1009,1001,12,240,16,12,12,5,4,10,0,0,0,0,0,45,2583,1281,1269,0,0
43482,1083,18,1,32,6,3,28,2,0,4,0,0,0,0,0,54,2387,60,32,0,0
62551,1027,125,16,98,134,21,27,6,7,4,1,0,0,0,0,67,2382,394,367,1,0
52332,1063,212,5,33,7,0,2,3,2,6,0,1,0,0,0,61,2464,257,255,1,0
66951,1046,277,162,305,173,76,124,3,4,7,0,0,0,0,0,32,2398,993,869,0,0
26091,1084,15,10,19,8,17,20,2,1,3,0,0,0,0,0,63,2283,69,49,0,0
33456,1058,7,3,10,8,1,7,1,0,3,0,0,0,0,0,55,2228,29,22,0,0
28718,1078,12,4,6,11,8,16,2,0,3,0,0,0,0,0,38,2510,41,25,0,0
50447,1004,85,7,24,2,3,27,3,1,3,0,0,0,0,0,50,2228,121,94,0,0
53537,1017,81,0,6,0,0,6,2,1,3,0,0,0,0,0,61,2309,87,81,0,0
52074,1077,59,0,12,0,0,48,2,2,2,1,0,0,0,0,53,2245,71,23,1,0
80427,1056,1149,71,449,69,71,26,11,8,8,0,0,0,0,0,45,2814,1809,1783,0,0
83837,1079,847,66,119,86,89,111,9,10,5,0,1,0,1,0,72,2719,1207,1096,2,1
38853,1090,29,0,14,0,0,2,2,0,3,0,0,0,0,0,50,2196,43,41,0,0
38285,1096,2,0,5,2,0,1,0,0,3,0,0,0,0,0,61,2164,9,8,0,0
78497,1044,207,26,447,75,0,223,5,7,12,0,0,0,1,0,69,2369,755,532,1,0
51650,1081,152,3,22,2,5,7,4,1,4,0,0,0,0,0,44,2208,184,177,0,0
16248,1077,12,11,10,3,12,9,2,1,3,0,0,0,0,0,32,2209,48,39,0,0
66835,1021,620,26,195,34,17,141,6,4,13,0,0,0,0,0,74,2433,892,751,0,0
30477,1016,47,1,6,0,0,12,1,1,3,0,0,0,0,0,36,2317,54,42,0,0
28249,1080,1,9,7,2,14,10,2,0,3,0,0,0,0,0,59,2173,33,23,0,0
25271,1045,10,1,18,10,4,7,1,1,2,0,0,0,0,0,37,2730,43,36,0,0
32303,1063,35,0,2,0,0,2,1,0,4,0,0,0,0,0,50,2272,37,35,0,0
61286,1034,356,0,107,19,9,117,7,1,8,0,0,0,0,0,54,2490,491,374,0,0
74068,1014,783,30,537,140,76,15,4,10,9,0,0,0,0,0,44,2626,1566,1551,0,0
45759,1013,42,1,18,3,0,4,2,0,3,0,0,0,0,0,56,2650,64,60,0,0
24882,1052,1,4,10,29,0,36,1,1,2,1,0,0,0,0,42,2817,44,8,1,0
66973,1098,466,22,432,147,113,102,8,7,12,0,0,0,0,0,31,2567,1180,1078,0,0
38872,1093,23,3,21,3,19,22,3,0,3,0,0,0,0,0,32,2554,69,47,0,0
51148,1038,235,6,45,8,9,12,5,1,6,0,0,0,0,0,47,2655,303,291,0,0
31353,1024,10,0,10,3,1,7,1,1,2,0,0,0,0,0,43,2341,24,17,0,0
69661,1080,656,16,106,32,16,8,7,3,12,0,0,0,0,0,40,2206,826,818,0,0
80067,1082,519,17,813,27,173,51,4,6,6,0,0,1,0,0,66,2442,1549,1498,1,0
86718,1020,344,189,482,50,33,172,5,6,5,0,0,0,0,0,66,2687,1098,926,0,0
46854,1081,96,1,79,7,1,79,5,1,3,1,0,0,0,0,47,2249,184,105,1,1
69142,1050,448,4,34,6,4,39,8,1,7,0,1,0,0,0,68,2159,496,457,1,0
75922,1060,265,138,553,224,23,92,4,4,9,0,0,0,0,0,52,2361,1203,1111,0,0
63693,1063,587,43,337,42,87,54,11,6,9,0,0,0,0,0,42,2417,1096,1042,0,0
102160,1054,763,29,138,76,176,58,7,9,10,0,1,1,1,0,43,2763,1182,1124,3,1
40637,1072,22,0,13,0,0,3,1,0,3,0,0,0,0,0,55,2506,35,32,0,0
18890,1005,6,4,1,7,2,15,0,1,2,1,0,0,0,0,36,2755,20,5,1,1
29604,1088,7,6,13,7,6,14,1,0,3,1,0,0,0,0,32,2362,39,25,1,0
48721,1050,81,18,113,47,13,21,4,2,5,0,0,0,0,0,57,2571,272,251,0,0
44794,1099,54,0,7,0,0,4,2,0,3,0,0,0,0,0,54,2180,61,57,0,0
64497,1017,1170,48,320,42,32,192,11,4,9,1,0,0,0,0,66,2816,1612,1420,1,1
46097,1011,72,24,68,65,4,8,3,1,6,0,0,0,0,0,64,2614,233,225,0,0
77972,1018,613,22,319,33,102,12,4,6,9,0,0,0,0,0,66,2262,1089,1077,0,0
44377,1070,224,0,30,0,0,10,5,1,5,0,0,0,0,0,52,2791,254,244,0,0
46014,1021,410,0,59,19,9,44,7,1,8,0,0,0,0,0,46,2683,497,453,0,0
70951,1066,239,10,554,254,87,54,3,4,9,0,0,0,0,0,35,2580,1144,1090,0,0
41443,1079,171,7,171,25,19,89,8,1,5,0,0,0,0,0,43,2248,393,304,0,0
52195,1002,12,0,4,0,0,1,1,0,2,0,0,0,0,0,42,2207,16,15,0,0
83790,1081,1076,16,417,42,48,16,8,10,6,0,1,1,0,0,72,2385,1599,1583,2,0
44551,1024,182,4,33,0,0,66,4,1,5,0,0,0,0,0,66,2461,219,153,0,0
69508,1048,824,32,162,42,32,43,11,4,11,0,0,0,0,0,40,2751,1092,1049,0,0
45204,1093,30,11,25,29,1,18,1,1,4,0,0,0,0,0,32,2238,96,78,0,0
72460,1056,377,10,540,80,30,10,3,5,7,0,0,0,0,0,51,2386,1037,1027,0,0
77622,1003,520,7,154,19,0,14,6,3,11,0,0,0,0,0,50,2235,700,686,0,0
30732,1044,155,1,25,0,1,3,4,1,4,0,0,0,0,0,40,2699,182,179,0,0
63887,1038,897,23,207,15,11,92,9,6,12,0,0,0,0,0,58,2818,1153,1061,0,0
42011,1046,131,0,16,2,1,39,3,1,4,0,0,0,0,0,42,2619,150,111,0,0
51369,1084,297,7,79,0,11,182,8,2,4,0,0,0,0,0,44,2771,394,212,0,0
51537,1027,787,20,204,0,0,92,2,2,11,0,0,0,0,0,68,2726,1011,919,0,0
79930,1072,792,86,740,67,51,17,3,5,8,0,0,0,0,0,48,2849,1736,1719,0,0
34320,1066,4,1,9,3,0,0,1,0,2,0,0,0,0,0,34,2292,17,17,0,0
37070,1030,231,7,137,4,15,39,5,1,8,0,0,0,0,0,54,2625,394,355,0,1
81975,1002,983,76,184,180,138,27,6,3,4,0,0,1,0,0,58,2699,1561,1534,1,0
38590,1065,3,1,8,4,3,3,1,0,2,0,0,0,0,0,49,2569,19,16,0,0
15033,1037,0,4,5,6,0,4,1,0,3,0,0,0,0,0,69,2233,15,11,0,0
62745,1089,562,21,464,28,10,32,7,8,11,0,0,0,0,0,55,2622,1085,1053,0,0
22212,1049,5,9,20,6,8,21,2,0,4,0,0,0,0,0,45,2361,48,27,0,0
23661,1046,18,0,4,0,0,1,1,0,3,0,0,0,0,0,38,2366,22,21,0,0
79761,1032,415,5,124,15,35,11,5,2,11,0,0,0,0,0,62,2427,594,583,0,0
7500,1054,5,3,10,12,7,20,3,1,3,0,0,0,0,0,47,2344,37,17,0,0
73455,1098,901,61,757,186,163,20,6,5,10,0,1,0,0,0,52,2403,2068,2048,1,0
64961,1097,382,114,276,75,124,38,6,4,4,0,0,0,0,0,62,2712,971,933,0,0
22804,1075,14,1,7,2,1,1,2,0,2,0,0,0,0,0,49,2492,25,24,0,0
73687,1008,559,153,503,218,13,181,3,9,9,0,0,0,1,0,30,2372,1446,1265,1,1
61074,1037,789,0,133,0,28,152,11,5,8,0,0,0,0,0,62,2840,950,798,0,0
31686,1031,11,0,5,0,0,1,1,0,3,0,0,0,0,0,56,2183,16,15,0,0
80134,1040,1218,16,272,104,0,80,5,3,6,0,1,1,1,0,48,2564,1610,1530,3,1
75027,1074,925,64,179,133,12,77,9,4,6,0,0,0,0,0,67,2695,1313,1236,0,0
67546,1090,864,134,768,150,38,172,4,10,5,0,0,0,0,0,32,2826,1954,1782,0,0
65176,1057,960,28,183,220,70,70,9,6,6,0,0,0,0,0,51,2767,1461,1391,0,0
31160,1059,16,3,25,6,1,13,2,0,3,0,0,0,0,0,45,2445,51,38,0,0
29938,1052,3,3,7,0,2,11,1,0,3,0,0,0,0,0,35,2404,15,4,0,0
102692,1005,168,148,444,32,172,148,6,9,13,0,1,1,1,1,46,2609,964,816,4,1
26490,1092,45,47,52,21,20,25,3,1,5,0,0,0,0,0,62,2804,185,160,0,0
75702,1077,650,28,353,45,42,30,4,6,11,0,0,0,0,0,53,2828,1118,1088,0,0
30899,1035,24,0,8,0,0,1,1,0,3,0,0,0,0,0,46,2783,32,31,0,0
63342,1048,918,21,118,13,10,21,8,3,5,0,1,0,0,0,59,2780,1080,1059,1,0
45989,1097,138,33,87,28,24,12,3,2,7,0,0,0,0,0,56,2774,310,298,0,0
18701,1095,12,4,2,10,6,10,2,0,4,0,0,0,0,0,56,2549,34,24,0,0
40737,1024,11,0,4,0,0,2,1,0,2,0,0,0,0,0,63,2362,15,13,0,0
15287,1060,1,2,8,4,3,13,1,1,2,1,0,0,0,0,41,2786,18,5,1,1
69674,1046,554,41,215,11,0,24,10,2,10,0,0,0,0,0,52,2562,821,797,0,0
44159,1085,167,2,62,24,13,7,4,1,6,0,0,0,0,0,50,2171,268,261,0,0
37717,1031,9,0,6,4,1,5,1,0,2,0,0,0,0,0,42,2742,20,15,0,0
43776,1009,177,2,71,3,2,20,5,2,4,0,0,0,0,0,68,2670,255,235,0,1
38179,1030,38,4,22,4,2,20,3,1,3,0,0,0,0,0,54,2631,70,50,0,0
80124,1047,483,84,398,205,84,241,3,7,8,1,0,0,0,0,57,2162,1254,1013,1,0
38097,1070,77,2,35,0,1,69,3,2,2,1,0,0,0,0,50,2781,115,46,1,1
72940,1013,182,74,298,162,149,116,3,3,6,0,0,0,0,0,50,2534,865,749,0,0
22070,1011,10,7,19,8,2,21,2,2,2,0,0,0,0,0,50,2427,46,25,0,0
69267,1031,778,44,499,95,73,146,3,4,5,0,0,0,0,0,67,2804,1489,1343,0,1
31788,1015,16,7,23,0,8,6,3,0,4,0,0,0,0,0,37,2260,54,48,0,0
61905,1002,167,0,43,6,2,13,4,2,4,0,0,0,0,0,45,2304,218,205,0,0
29315,1055,13,2,14,8,7,4,2,0,4,0,0,0,0,0,60,2243,44,40,0,0
33378,1038,33,6,40,3,7,10,2,0,4,0,0,0,0,0,57,2667,89,79,0,0
66313,1086,625,7,99,10,22,7,6,3,12,0,0,0,0,0,57,2445,763,756,0,0
60714,1056,216,162,224,101,92,162,7,4,10,0,0,0,0,0,64,2687,795,633,0,1
77882,1029,68,129,396,188,22,15,3,3,5,0,0,0,0,0,39,2219,803,788,0,0
69867,1030,196,0,512,33,130,54,3,5,8,0,0,0,1,0,34,2612,871,817,1,1
63841,1064,635,15,100,20,7,131,9,3,9,0,0,0,0,0,52,2593,777,646,0,0
24480,1046,4,19,9,28,25,17,3,0,4,0,0,0,0,0,39,2662,85,68,0,0
51369,1084,297,7,79,0,11,182,8,2,4,0,0,0,0,0,44,2771,394,212,0,0
37760,1020,84,5,38,150,12,28,4,1,6,0,0,0,0,0,74,2826,289,261,0,0
65640,1074,204,7,149,20,15,66,5,1,8,0,0,0,0,0,46,2279,395,329,0,0
44319,1018,26,0,8,0,0,3,2,0,3,0,0,0,0,0,45,2232,34,31,0,0
30631,1075,15,6,20,4,5,20,3,1,2,0,0,0,0,0,46,2511,50,30,0,0
75278,1017,304,98,230,150,74,74,6,3,13,0,0,0,0,0,68,2675,856,782,0,0
50898,1088,285,28,242,55,114,135,6,2,12,0,0,0,0,0,64,2696,724,589,0,0
79946,1019,395,183,565,166,141,28,5,11,5,0,0,0,0,0,54,2207,1450,1422,0,0
35416,1062,248,3,81,4,3,51,7,1,5,0,0,0,0,0,71,2540,339,288,0,0
32414,1011,20,6,5,0,9,12,1,0,3,1,0,0,0,0,36,2519,40,28,1,0
38361,1074,39,0,56,20,8,14,3,1,3,0,0,0,0,0,51,2343,123,109,0,0
82497,1032,777,129,573,216,21,203,2,7,9,0,0,1,0,0,40,2765,1716,1513,1,0
16626,1076,8,3,22,21,1,13,3,0,3,0,0,0,0,0,49,2324,55,42,0,0
29672,1006,9,1,3,0,4,8,0,0,3,0,0,0,0,0,55,2633,17,9,0,0
55951,1062,1241,0,80,0,13,40,3,6,11,0,1,0,0,1,68,2834,1334,1294,2,0
35388,1020,6,4,7,4,3,8,1,0,3,0,0,0,0,0,32,2638,24,16,0,0
42386,1043,65,4,16,0,4,11,3,0,3,0,0,0,0,0,34,2691,89,78,0,0
68627,1045,395,15,263,60,54,38,2,3,6,0,0,0,0,0,38,2692,787,749,0,0
57912,1034,801,0,80,0,0,35,8,3,12,0,1,0,0,0,55,2263,881,846,1,0
35246,1053,36,0,12,2,2,10,3,1,3,0,0,0,0,0,62,2233,52,42,0,0
